Name,ISIN ,issue date,maturity date,coupon,10,11,12,13,14,17,18,19,20,21
CAN 0.25 Mar1,CA135087G328,10/11/2016,3/1/2022,0.50%,100.04,100.04,100.03,100.03,100.03,100.02,100.01,100.01,100.01,100.01
CAN 1.75 Mar1,CA135087H490,10/6/2017,3/1/2023,1.75%,100.93,100.92,100.9,100.87,100.85,100.76,100.71,100.71,100.71,100.75
CAN 2.25 Mar1,CA135087J546,10/5/2018,3/1/2024,2.25%,102.32,102.29,102.28,102.23,102.18,102,101.91,101.89,101.89,101.99
CAN 1.50 SEP1,CA135087J967,4/5/2019,9/1/2024,1.50%,100.55,100.52,100.56,100.45,100.44,100.32,100.14,100.02,100.04,100.11
CAN 1.25 Mar1,CA135087K528,10/11/2019,3/1/2025,1.25%,99.65,99.66,99.62,99.59,99.5,99.26,99.13,99.11,99.12,99.29
CAN 0.50 SEP1,CA135087K940,4/3/2020,9/1/2025,0.50%,96.71,96.74,96.72,96.74,96.68,96.41,96.25,96.15,96.18,96.34
CAN 0.25 Mar1,CA135087L518,10/9/2020,3/1/2026,0.25%,95.12,95.16,95.13,95.16,95.06,94.76,94.56,94.51,94.55,94.73
CAN 1.00 SEP1,CA135087L930,4/16/2021,9/1/2026,1.00%,97.66,97.7,97.67,97.7,97.59,97.24,97.02,96.96,97,97.23
CAN 1.50 Jun 1,CA135087M276,4/26/2021,6/1/2031,1.50%,98.02,98.13,98.03,98.14,97.87,97.33,96.99,96.88,96.99,97.51
CAN 1.25 Mar1,CA135087M847,10/15/2021,3/1/2027,1.25%,98.41,98.45,98.41,98.46,98.33,97.96,97.72,97.67,97.71,97.98
